id_cliente,nombres,apellidos,numero_identificacion,telefono,correo,direccion,TIPO_IDENT_id_tipo_ident,MUNICIPIO_id_municipio
36,Rosa,Garcia,8118240999,34026879,rosa.garcia@correo.com,5 Calle 5-53 zona 12,1,35
37,Luis,Gonzalez,5971034978,39900022,luis.gonzalez2@correo.com,4 Calle 7-63 zona 15,1,4
38,Claudia,Ortiz,9803662851,72425342,claudia.ortiz@correo.com,15 Calle 1-29 zona 6,3,73
39,Andrea,Cruz,5783809766,68416270,andrea.cruz@correo.com,7 Calle 5-37 zona 25,3,55
40,Alejandra,Hernandez,90440034,69840487,alejandra.hernandez2@correo.com,11 Calle 5-15 zona 8,2,76
41,Ana,Garcia,67801537,45286905,ana.garcia@correo.com,5 Calle 6-25 zona 1,2,28
42,Gabriela,Gonzalez,8044354825,76941939,gabriela.gonzalez@correo.com,2 Calle 7-15 zona 14,1,30
43,Roberto,Hernandez,6340003593,48719145,roberto.hernandez@correo.com,14 Calle 6-21 zona 14,1,42
44,Patricia,Vasquez,8628842157,54717362,patricia.vasquez@correo.com,6 Calle 3-19 zona 17,1,40
45,Manuel,Aguilar,3815389788,33456926,manuel.aguilar@correo.com,5 Calle 4-32 zona 20,1,31
46,Gabriela,Aguilar,2357806226,78531380,gabriela.aguilar@correo.com,11 Calle 10-92 zona 21,3,73
47,Julio,Martinez,70654852,51942411,julio.martinez@correo.com,6 Calle 9-19 zona 10,2,39
48,Jose,Lopez,87890494,32514923,jose.lopez@correo.com,10 Calle 10-74 zona 13,2,37
49,Rosa,Lopez,2934982045,46394323,rosa.lopez@correo.com,10 Calle 8-74 zona 5,1,74
50,Karla,Martinez,3619094295,35156449,karla.martinez@correo.com,12 Calle 8-66 zona 17,3,23
51,Lucia,Gomez,5578056564,66676858,,11 Calle 10-16 zona 21,1,50
52,Miguel,Flores,9232363331,53522845,miguel.flores@correo.com,6 Calle 2-84 zona 22,1,37
53,Claudia,Aguilar,4492602049,42421349,claudia.aguilar2@correo.com,5 Calle 9-58 zona 21,1,51
54,Vivian,Martinez,8585583166,77070468,vivian.martinez@correo.com,1 Calle 6-49 zona 6,1,55
55,Ricardo,Sanchez,9752058817,35962567,,14 Calle 2-74 zona 25,3,20
56,Karla,Mendoza,15864298,43722056,karla.mendoza2@correo.com,3 Calle 10-31 zona 24,2,49
57,Oscar,Gomez,4586784711,65780297,oscar.gomez@correo.com,13 Calle 8-39 zona 18,1,31
58,Lucia,Chavez,31751079,65727345,,13 Calle 7-74 zona 17,2,57
59,Ricardo,Mendoza,4655730355,39062973,ricardo.mendoza2@correo.com,14 Calle 6-80 zona 4,3,33
60,Roberto,Martinez,56920514,69612629,roberto.martinez@correo.com,3 Calle 7-21 zona 8,2,35
61,Maria,Reyes,1627276995,54955699,maria.reyes@correo.com,7 Calle 2-57 zona 8,1,65
62,Jose,Morales,2099184899,48870361,,8 Calle 10-10 zona 3,1,61
63,Paola,Flores,1205082311,78101036,,2 Calle 5-40 zona 10,1,78
64,Oscar,Aguilar,3469810046,32859886,oscar.aguilar@correo.com,14 Calle 8-86 zona 18,1,59
65,Paola,Morales,2548781344,55035998,paola.morales@correo.com,10 Calle 7-33 zona 22,1,79
66,Vivian,Flores,60103798,71341153,vivian.flores@correo.com,7 Calle 8-15 zona 21,2,65
67,Pedro,Garcia,1572989855,55045421,pedro.garcia@correo.com,12 Calle 2-84 zona 24,1,9
68,Manuel,Flores,14963880,69028420,manuel.flores@correo.com,11 Calle 3-27 zona 3,2,23
69,Roberto,Ramirez,7328203808,36294819,roberto.ramirez@correo.com,15 Calle 5-75 zona 13,3,26
70,Jose,Aguilar,69020451,36568772,jose.aguilar@correo.com,5 Calle 2-57 zona 14,2,46
71,Victor,Ortiz,20593403,67163058,,15 Calle 9-44 zona 3,2,64
72,Alejandra,Mendoza,6611356986,75928582,,6 Calle 2-20 zona 11,1,24
73,Alejandra,Perez,1246351029,61710601,alejandra.perez@correo.com,12 Calle 6-88 zona 14,1,45
74,Patricia,Gomez,1542153826,33395441,patricia.gomez@correo.com,14 Calle 10-96 zona 15,1,21
75,Laura,Aguilar,6892752604,71543335,laura.aguilar2@correo.com,10 Calle 3-96 zona 15,1,50
76,Luis,Rodriguez,4159699467,66274512,luis.rodriguez@correo.com,11 Calle 5-41 zona 4,1,47
77,Silvia,Vasquez,3109688769,35391883,silvia.vasquez@correo.com,13 Calle 5-67 zona 7,3,72
78,Sofia,Gonzalez,1963110410,48467726,,2 Calle 6-95 zona 12,1,58
79,Ricardo,Gonzalez,4797809576,37054838,ricardo.gonzalez@correo.com,9 Calle 10-57 zona 15,3,64
80,Luis,Morales,9471306442,77891998,luis.morales@correo.com,13 Calle 7-83 zona 3,1,62
81,Luis,Castillo,5849159641,53153097,luis.castillo@correo.com,15 Calle 9-91 zona 19,1,67
82,Sergio,Lopez,9138644862,46102363,sergio.lopez@correo.com,3 Calle 3-51 zona 23,1,67
83,Andrea,Cruz,1662259333,53100009,andrea.cruz2@correo.com,11 Calle 5-88 zona 18,1,71
84,Karla,Rodriguez,3744446292,31762722,karla.rodriguez@correo.com,11 Calle 10-43 zona 21,1,4
85,Silvia,Aguilar,3957572769,65108369,silvia.aguilar@correo.com,13 Calle 7-48 zona 15,1,39
86,Fernando,Castillo,8991977937,46707484,fernando.castillo2@correo.com,10 Calle 3-50 zona 23,1,60
87,Patricia,Gonzalez,2931000173,72781470,patricia.gonzalez@correo.com,6 Calle 4-69 zona 4,1,66
88,Paola,Hernandez,5979337757,78015136,paola.hernandez@correo.com,4 Calle 3-51 zona 19,1,50
89,Sergio,Castillo,2515672889,61388833,sergio.castillo@correo.com,2 Calle 7-74 zona 15,1,40
90,Ana,Morales,8419590655,51137194,ana.morales2@correo.com,14 Calle 2-65 zona 5,1,61
91,Patricia,Gomez,77680031,74265774,patricia.gomez2@correo.com,6 Calle 9-46 zona 3,2,7
92,Julio,Flores,1619623590,72993318,julio.flores3@correo.com,3 Calle 2-60 zona 12,1,80
93,Sergio,Diaz,29990477,33299088,sergio.diaz@correo.com,12 Calle 6-70 zona 17,2,6
94,Sergio,Gonzalez,7712708591,53726331,sergio.gonzalez@correo.com,7 Calle 10-48 zona 19,1,79
95,Mario,Garcia,3480920839,66161977,mario.garcia3@correo.com,13 Calle 1-86 zona 16,1,15
96,Ana,Rodriguez,1819412471,77378535,ana.rodriguez@correo.com,3 Calle 4-14 zona 19,1,68
97,Julio,Ortiz,4031281545,47884990,julio.ortiz@correo.com,9 Calle 10-70 zona 24,1,53
98,Vivian,Ramirez,7641192909,77322070,vivian.ramirez@correo.com,6 Calle 3-68 zona 18,1,62
99,Pedro,Mendoza,7395219544,56007984,pedro.mendoza@correo.com,4 Calle 5-46 zona 23,1,32
100,Mario,Gomez,4455798713,53044708,mario.gomez@correo.com,10 Calle 9-58 zona 13,1,36
101,Roberto,Lopez,2166605339,58421839,roberto.lopez2@correo.com,11 Calle 5-71 zona 7,1,11
102,Miguel,Mendoza,1225447588,41851702,miguel.mendoza@correo.com,11 Calle 9-38 zona 21,1,31
103,Oscar,Ortiz,74082055,41086930,oscar.ortiz@correo.com,9 Calle 3-62 zona 21,2,13
104,Ricardo,Morales,8886432673,34896008,ricardo.morales@correo.com,9 Calle 1-32 zona 14,1,8
105,Silvia,Perez,6517150278,31155477,,5 Calle 10-87 zona 4,1,38
106,Estuardo,Vasquez,8435100486,78852085,estuardo.vasquez@correo.com,5 Calle 4-24 zona 11,1,18
107,Pedro,Perez,79159799,54240708,pedro.perez@correo.com,3 Calle 10-91 zona 13,2,44
108,Alejandro,Martinez,2647439475,43359075,alejandro.martinez@correo.com,8 Calle 6-41 zona 1,1,13
109,Julio,Cruz,3868119543,71191859,,5 Calle 6-98 zona 8,1,39
110,Cristina,Morales,5868640848,52969909,cristina.morales@correo.com,11 Calle 5-57 zona 20,1,65
111,Paola,Castillo,4545940090,57976731,paola.castillo@correo.com,12 Calle 9-70 zona 25,3,78
112,Laura,Chavez,3171050399,78495187,laura.chavez@correo.com,9 Calle 6-19 zona 19,1,11
113,Estuardo,Gonzalez,5533921266,62950183,estuardo.gonzalez@correo.com,11 Calle 4-84 zona 16,1,67
114,Diego,Vasquez,4506639908,38757420,diego.vasquez@correo.com,11 Calle 5-12 zona 13,1,73
115,Daniela,Rodriguez,6528012497,52069713,daniela.rodriguez@correo.com,9 Calle 1-18 zona 16,1,55
116,Gabriela,Gonzalez,8989870040,57416943,gabriela.gonzalez2@correo.com,8 Calle 7-58 zona 3,3,54
117,Sofia,Perez,9497552788,73136529,,12 Calle 4-10 zona 25,1,51
118,Cristina,Chavez,5961208540,77363203,cristina.chavez@correo.com,14 Calle 4-41 zona 15,1,55
119,Ricardo,Hernandez,5439176290,71262492,ricardo.hernandez@correo.com,4 Calle 4-18 zona 4,3,54
120,Ana,Sanchez,9561946187,64931560,ana.sanchez@correo.com,9 Calle 4-17 zona 5,3,52
121,Jorge,Rodriguez,7071194857,54974590,jorge.rodriguez@correo.com,5 Calle 3-94 zona 17,1,77
122,Monica,Lopez,80392240,48167236,monica.lopez3@correo.com,9 Calle 8-16 zona 12,2,76
123,Alejandro,Reyes,4039019230,64084977,alejandro.reyes@correo.com,13 Calle 9-70 zona 8,1,39
124,Cristina,Lopez,2593765711,79891787,cristina.lopez@correo.com,3 Calle 7-41 zona 9,1,54
125,Estuardo,Ramirez,3400244542,71663497,estuardo.ramirez2@correo.com,14 Calle 2-34 zona 25,3,49
126,Mario,Ramirez,42560305,51257256,,4 Calle 4-25 zona 24,2,43
127,Daniela,Diaz,6619630925,55748945,,7 Calle 8-78 zona 21,1,71
128,Lucia,Vasquez,2777816561,38876742,,13 Calle 6-36 zona 12,1,60
129,Jorge,Gonzalez,4579265601,78005797,jorge.gonzalez@correo.com,5 Calle 3-35 zona 11,1,71
130,Silvia,Flores,1726990714,59197701,silvia.flores@correo.com,12 Calle 8-68 zona 6,1,44
131,Estuardo,Jimenez,2771211118,39790328,estuardo.jimenez2@correo.com,1 Calle 2-95 zona 2,1,70
132,Jorge,Martinez,9215204939,49484790,jorge.martinez@correo.com,8 Calle 6-17 zona 20,3,2
133,Silvia,Garcia,9663561486,61198826,silvia.garcia@correo.com,1 Calle 9-45 zona 18,1,71
134,Alejandra,Perez,8796286443,73498085,alejandra.perez2@correo.com,4 Calle 4-89 zona 17,1,13
135,Monica,Diaz,4262396395,65080351,monica.diaz@correo.com,12 Calle 4-48 zona 22,1,52
136,Andrea,Diaz,8663837890,61941452,andrea.diaz2@correo.com,11 Calle 1-99 zona 6,1,71
137,Miguel,Vasquez,1141312095,48977571,,5 Calle 1-19 zona 22,1,30
138,Alejandro,Garcia,6719736115,47682298,,15 Calle 2-48 zona 6,3,76
139,Diego,Martinez,8617360361,32638895,diego.martinez@correo.com,7 Calle 4-19 zona 11,3,45
140,Maria,Aguilar,8132531532,64827527,maria.aguilar@correo.com,6 Calle 9-58 zona 14,1,58
141,Andrea,Mendoza,8471762590,32376369,andrea.mendoza@correo.com,5 Calle 3-58 zona 23,1,32
142,Alejandro,Gomez,6099808894,58461429,alejandro.gomez@correo.com,6 Calle 5-23 zona 5,1,1
143,Julio,Flores,2654584280,31440601,julio.flores4@correo.com,2 Calle 6-80 zona 3,3,53
144,Roberto,Reyes,32750139,75072543,roberto.reyes@correo.com,10 Calle 9-31 zona 22,2,11
145,Diego,Cruz,5625342041,42061446,diego.cruz@correo.com,3 Calle 7-45 zona 14,1,64
146,Pedro,Sanchez,9370133032,74280754,pedro.sanchez@correo.com,8 Calle 2-27 zona 10,1,64
147,Karla,Mendoza,3986257683,66615941,karla.mendoza3@correo.com,7 Calle 10-27 zona 10,1,43
148,Mario,Ortiz,6910112521,55889688,mario.ortiz@correo.com,12 Calle 8-83 zona 8,1,51
149,Patricia,Gomez,38138531,44018677,patricia.gomez3@correo.com,11 Calle 9-13 zona 24,2,73
150,Julio,Morales,8366884200,69376917,julio.morales@correo.com,3 Calle 5-40 zona 9,1,9
151,Victor,Martinez,9454334062,67724393,victor.martinez@correo.com,9 Calle 9-98 zona 14,3,77
152,Estuardo,Mendoza,9780187424,35164624,estuardo.mendoza@correo.com,11 Calle 6-31 zona 21,3,11
153,Patricia,Ortiz,6244291385,31176962,,2 Calle 5-38 zona 17,3,56
154,Lucia,Diaz,5130589741,73529080,lucia.diaz@correo.com,6 Calle 1-71 zona 4,1,76
155,Sofia,Gonzalez,8287542751,64470657,sofia.gonzalez2@correo.com,9 Calle 8-54 zona 16,1,44
156,Alejandro,Martinez,3216176949,36755892,alejandro.martinez2@correo.com,11 Calle 2-96 zona 6,1,15
157,Rosa,Perez,7150970643,64889890,rosa.perez@correo.com,13 Calle 7-90 zona 6,1,55
158,Maria,Mendoza,9858643842,78206700,,7 Calle 1-37 zona 7,1,58
159,Miguel,Flores,5785590330,48676422,miguel.flores2@correo.com,2 Calle 5-95 zona 16,3,42
160,Manuel,Castillo,2311597141,72421902,manuel.castillo@correo.com,11 Calle 3-50 zona 4,1,39
161,Gabriela,Gomez,34931439,68016887,gabriela.gomez@correo.com,10 Calle 3-83 zona 13,2,66
162,Silvia,Aguilar,8911266259,73799538,silvia.aguilar2@correo.com,8 Calle 5-27 zona 6,1,23
163,Ana,Gomez,64913082,44273712,,14 Calle 7-81 zona 17,2,63
164,Silvia,Reyes,2254516608,63806047,silvia.reyes@correo.com,2 Calle 10-13 zona 25,1,57
165,Monica,Sanchez,9550822977,69309978,monica.sanchez@correo.com,9 Calle 9-24 zona 19,1,22
166,Estuardo,Lopez,5292015249,74666525,estuardo.lopez2@correo.com,7 Calle 2-93 zona 25,1,57
167,Julio,Cruz,8254773516,62969410,julio.cruz@correo.com,13 Calle 4-36 zona 24,3,12
168,Alejandra,Perez,3313993297,41995859,alejandra.perez3@correo.com,10 Calle 6-78 zona 9,3,27
169,Alejandro,Morales,1569902893,72597613,alejandro.morales@correo.com,3 Calle 7-17 zona 9,1,35
170,Paola,Ortiz,70665302,63385244,paola.ortiz@correo.com,10 Calle 5-90 zona 14,2,51
171,Luis,Aguilar,75504221,69650558,luis.aguilar@correo.com,12 Calle 5-98 zona 12,2,12
172,Alejandro,Rodriguez,9453047901,67009980,alejandro.rodriguez@correo.com,14 Calle 2-78 zona 13,1,12
173,Daniela,Jimenez,1197323378,53191007,daniela.jimenez@correo.com,10 Calle 8-53 zona 22,1,37
174,Cristina,Garcia,2296502486,68659103,cristina.garcia2@correo.com,1 Calle 7-35 zona 23,1,21
175,Monica,Martinez,4243697409,37238503,monica.martinez@correo.com,11 Calle 3-16 zona 13,1,33
176,Alejandra,Aguilar,2911547690,34580613,alejandra.aguilar@correo.com,8 Calle 2-26 zona 19,1,13
177,Carlos,Ortiz,5738214525,49014480,carlos.ortiz@correo.com,2 Calle 4-59 zona 3,1,55
178,Lucia,Morales,7185179917,42147756,lucia.morales@correo.com,9 Calle 10-11 zona 20,1,18
179,Daniela,Aguilar,4231729466,78421969,daniela.aguilar@correo.com,14 Calle 4-21 zona 4,1,53
180,Victor,Gomez,7904559790,45157165,,5 Calle 2-41 zona 18,3,41
181,Maria,Chavez,6322929387,79548370,,4 Calle 7-47 zona 21,1,27
182,Victor,Hernandez,7102562415,39863176,victor.hernandez@correo.com,15 Calle 1-56 zona 11,1,77
183,Estuardo,Chavez,8684942020,31280001,estuardo.chavez@correo.com,10 Calle 2-11 zona 9,1,61
184,Sergio,Morales,5950724801,68106413,sergio.morales@correo.com,12 Calle 7-20 zona 21,3,65
185,Andrea,Morales,2024939794,49999133,andrea.morales3@correo.com,6 Calle 7-85 zona 21,1,27
186,Laura,Martinez,4012917912,61923227,,5 Calle 3-25 zona 1,1,15
187,Fernando,Jimenez,4865030023,75349442,,3 Calle 6-26 zona 24,1,67
188,Karla,Reyes,3434757387,52293020,karla.reyes2@correo.com,8 Calle 8-75 zona 12,1,9
189,Lucia,Perez,2050340486,72934976,lucia.perez@correo.com,4 Calle 9-10 zona 2,1,14
190,Mario,Gomez,8388580360,41593302,mario.gomez2@correo.com,9 Calle 7-38 zona 11,1,20
191,Monica,Martinez,19251149,71883692,monica.martinez2@correo.com,3 Calle 4-76 zona 2,2,16
192,Cristina,Morales,8664400151,52449308,cristina.morales2@correo.com,9 Calle 8-11 zona 12,1,40
193,Laura,Castillo,7620886217,45112546,laura.castillo@correo.com,3 Calle 1-62 zona 1,1,64
194,Carlos,Ortiz,18038980,52743975,carlos.ortiz2@correo.com,4 Calle 9-40 zona 14,2,49
195,Paola,Cruz,3494390866,77929943,paola.cruz2@correo.com,12 Calle 6-68 zona 24,1,30
196,Sergio,Gonzalez,8949613826,32044933,sergio.gonzalez2@correo.com,7 Calle 3-40 zona 10,1,51
197,Patricia,Ortiz,1453796587,42253047,patricia.ortiz@correo.com,4 Calle 3-84 zona 4,1,35
198,Julio,Castillo,45568761,77011065,julio.castillo@correo.com,13 Calle 4-67 zona 10,2,16
199,Sofia,Martinez,9454213661,71676621,sofia.martinez2@correo.com,4 Calle 6-28 zona 3,1,39
200,Patricia,Vasquez,2073108894,53917016,patricia.vasquez2@correo.com,1 Calle 7-67 zona 18,3,39
201,Cristina,Hernandez,59961172,31200603,cristina.hernandez@correo.com,1 Calle 4-26 zona 7,2,18
202,Andrea,Rodriguez,1526252306,32081661,andrea.rodriguez@correo.com,4 Calle 8-26 zona 3,1,10
203,Cristina,Lopez,33193791,67626978,cristina.lopez2@correo.com,8 Calle 1-58 zona 22,2,74
204,Manuel,Ramirez,3649896750,58482830,,15 Calle 3-14 zona 20,3,36
205,Roberto,Jimenez,36770773,62023059,roberto.jimenez@correo.com,2 Calle 5-59 zona 5,2,71
206,Vivian,Sanchez,56175477,37417252,vivian.sanchez@correo.com,13 Calle 6-71 zona 18,2,70
207,Sergio,Ortiz,9553561889,36349877,sergio.ortiz@correo.com,10 Calle 4-13 zona 25,1,24
208,Vivian,Gomez,5070780669,42679975,vivian.gomez@correo.com,4 Calle 4-44 zona 18,1,30
209,Victor,Gomez,9711080868,44968669,,10 Calle 6-99 zona 12,3,23
210,Manuel,Rodriguez,1387652480,49258194,manuel.rodriguez@correo.com,9 Calle 5-32 zona 16,1,73
211,Jorge,Mendoza,4079223686,61011467,jorge.mendoza@correo.com,6 Calle 10-35 zona 5,1,68
212,Alejandro,Lopez,8138835028,42860938,alejandro.lopez@correo.com,14 Calle 9-56 zona 3,1,76
213,Miguel,Ortiz,2532554057,48329435,miguel.ortiz@correo.com,13 Calle 8-93 zona 11,1,18
214,Gabriela,Diaz,86166246,43981450,gabriela.diaz@correo.com,12 Calle 1-99 zona 19,2,38
215,Jose,Perez,6317152031,42746679,jose.perez@correo.com,15 Calle 8-28 zona 11,1,79
216,Alejandro,Perez,6800272428,58493206,alejandro.perez@correo.com,1 Calle 5-36 zona 8,1,12
217,Miguel,Garcia,7640122370,63790695,miguel.garcia@correo.com,15 Calle 7-73 zona 13,1,57
218,Miguel,Jimenez,6663846005,43728923,miguel.jimenez@correo.com,8 Calle 2-14 zona 10,1,74
219,Miguel,Martinez,9131344493,42258331,miguel.martinez@correo.com,9 Calle 2-53 zona 20,3,49
220,Maria,Reyes,5185009345,78284673,,3 Calle 1-22 zona 11,1,22
221,Oscar,Flores,86741644,55723173,oscar.flores@correo.com,5 Calle 4-22 zona 2,2,70
222,Rosa,Jimenez,3062994753,38174037,rosa.jimenez@correo.com,2 Calle 5-94 zona 21,3,47
223,Miguel,Garcia,75645462,38945197,miguel.garcia2@correo.com,14 Calle 2-49 zona 13,2,38
224,Pedro,Martinez,15988382,47224691,pedro.martinez@correo.com,15 Calle 7-57 zona 6,2,50
225,Pedro,Castillo,7539441086,52034137,pedro.castillo2@correo.com,3 Calle 2-20 zona 22,1,29
226,Estuardo,Chavez,3664052763,74953417,,8 Calle 5-20 zona 13,1,61
227,Sofia,Castillo,37101146,44233407,sofia.castillo2@correo.com,3 Calle 1-64 zona 3,2,22
228,Paola,Mendoza,7527011028,37511223,paola.mendoza2@correo.com,9 Calle 7-80 zona 11,1,9
229,Carlos,Mendoza,5035765954,37953189,carlos.mendoza2@correo.com,3 Calle 3-82 zona 19,3,54
230,Miguel,Rodriguez,86775659,76769167,miguel.rodriguez@correo.com,15 Calle 7-43 zona 13,2,37
231,Mario,Lopez,9801637712,47739741,mario.lopez@correo.com,1 Calle 7-52 zona 23,1,52
232,Mario,Cruz,1979069637,56084418,,5 Calle 5-72 zona 23,1,3
233,Claudia,Castillo,9831336766,57992286,claudia.castillo2@correo.com,10 Calle 2-34 zona 15,1,42
234,Fernando,Martinez,4577406847,63275826,fernando.martinez@correo.com,13 Calle 9-82 zona 1,1,65
235,Ana,Sanchez,95283260,54340507,ana.sanchez2@correo.com,5 Calle 6-69 zona 17,2,7
236,Sofia,Chavez,2478538226,68484373,sofia.chavez@correo.com,3 Calle 8-85 zona 18,1,48
237,Pedro,Martinez,3910678913,33733132,pedro.martinez2@correo.com,14 Calle 10-37 zona 8,1,50
238,Monica,Aguilar,4439688162,38954031,monica.aguilar@correo.com,15 Calle 3-92 zona 6,3,3
239,Jorge,Cruz,6232168056,58110298,jorge.cruz@correo.com,15 Calle 7-54 zona 15,1,40
240,Claudia,Chavez,7910817577,62716512,claudia.chavez@correo.com,1 Calle 9-94 zona 12,3,80
241,Claudia,Chavez,1809000407,55638619,claudia.chavez2@correo.com,11 Calle 6-45 zona 9,1,9
242,Vivian,Sanchez,49675382,66361758,,11 Calle 3-13 zona 21,2,77
243,Pedro,Reyes,58116670,74186247,pedro.reyes@correo.com,6 Calle 4-97 zona 18,2,5
244,Sergio,Morales,4919693525,45928878,sergio.morales2@correo.com,2 Calle 8-26 zona 24,1,72
245,Karla,Aguilar,6557907251,46152035,karla.aguilar@correo.com,7 Calle 6-57 zona 9,3,46
246,Sofia,Jimenez,81113720,72194801,sofia.jimenez@correo.com,8 Calle 4-74 zona 4,2,75
247,Claudia,Reyes,4073772623,44360419,claudia.reyes@correo.com,6 Calle 7-82 zona 15,1,20
248,Andrea,Jimenez,5975440949,51973306,andrea.jimenez@correo.com,1 Calle 8-45 zona 7,1,23
249,Andrea,Gonzalez,1818520766,68197852,andrea.gonzalez@correo.com,8 Calle 7-10 zona 2,3,55
250,Carlos,Aguilar,2314754322,56236039,carlos.aguilar@correo.com,3 Calle 2-59 zona 17,3,29
251,Luis,Lopez,9166381136,69728991,luis.lopez@correo.com,10 Calle 9-53 zona 14,1,38
252,Manuel,Ramirez,1725783958,34832222,manuel.ramirez@correo.com,4 Calle 3-37 zona 24,1,52
253,Lucia,Aguilar,1084790270,59971338,lucia.aguilar@correo.com,10 Calle 1-86 zona 2,1,49
254,Sofia,Reyes,6588252632,75240244,sofia.reyes@correo.com,8 Calle 3-36 zona 23,1,16
255,Miguel,Chavez,5800633419,73301222,miguel.chavez@correo.com,7 Calle 2-75 zona 24,3,80
256,Sofia,Hernandez,49641367,45412305,sofia.hernandez@correo.com,14 Calle 9-35 zona 12,2,78
257,Fernando,Lopez,4895020135,66546608,fernando.lopez@correo.com,4 Calle 1-11 zona 22,1,27
258,Silvia,Gonzalez,49731424,32699372,,15 Calle 5-92 zona 8,2,66
259,Pedro,Castillo,1197092148,35874908,pedro.castillo3@correo.com,6 Calle 6-64 zona 24,1,23
260,Diego,Chavez,1785418196,58343630,diego.chavez2@correo.com,10 Calle 5-21 zona 12,1,43
261,Patricia,Diaz,4119911995,69023619,,13 Calle 7-93 zona 6,1,35
262,Fernando,Hernandez,3625764422,68351152,fernando.hernandez@correo.com,3 Calle 10-58 zona 25,1,76
263,Diego,Jimenez,9643021280,68393515,,1 Calle 2-43 zona 21,1,15
264,Vivian,Rodriguez,7364839489,59709047,vivian.rodriguez@correo.com,9 Calle 10-22 zona 14,1,29
265,Victor,Gonzalez,32200132,71915467,victor.gonzalez2@correo.com,1 Calle 3-74 zona 16,2,72
266,Luis,Jimenez,64126921,51844744,luis.jimenez@correo.com,9 Calle 4-80 zona 21,2,43
267,Laura,Martinez,9506916058,62476728,laura.martinez@correo.com,14 Calle 8-67 zona 11,1,74
268,Maria,Hernandez,3415200001,71002847,maria.hernandez2@correo.com,14 Calle 2-87 zona 20,1,5
